61
61
919.886, 1144.251, -2.742
918.812, 1143.778, -2.776
917.693, 1143.322, -2.788
916.592, 1142.894, -2.782
915.625, 1142.490, -2.762
914.636, 1141.993, -2.723
913.511, 1141.520, -2.655
912.476, 1141.031, -2.559
911.623, 1140.321, -2.422
910.835, 1139.486, -2.250
910.147, 1138.477, -2.047
909.578, 1137.538, -1.829
909.313, 1136.464, -1.527
909.464, 1135.387, -1.299
909.950, 1134.297, -1.065
910.528, 1133.307, -0.844
911.262, 1132.332, -0.643
912.286, 1131.599, -0.468
913.232, 1131.261, -0.344
914.329, 1131.000, -0.232
915.434, 1130.796, -0.140
916.599, 1130.626, -0.072
917.809, 1130.560, -0.030
919.043, 1130.556, -0.010
920.307, 1130.573, 0.005
921.520, 1130.593, 0.015
922.711, 1130.646, 0.026
923.934, 1130.768, 0.049
925.147, 1130.866, 0.087
926.284, 1131.022, 0.142
927.444, 1131.233, 0.209
928.672, 1131.481, 0.298
929.705, 1131.777, 0.405
930.626, 1132.250, 0.522
931.466, 1132.849, 0.644
932.261, 1133.502, 0.773
932.988, 1134.292, 0.915
933.588, 1135.101, 1.054
934.243, 1136.172, 1.245
934.496, 1137.232, 1.439
934.462, 1138.418, 1.624
934.323, 1139.587, 1.801
934.068, 1140.830, 1.986
933.583, 1141.972, 2.175
932.811, 1142.944, 2.372
931.922, 1143.604, 2.514
931.029, 1144.194, 2.653
929.978, 1144.698, 2.788
928.939, 1145.022, 2.914
927.874, 1145.315, 3.042
926.795, 1145.395, 3.140
925.691, 1145.313, -3.069
924.590, 1145.168, -3.010
923.485, 1144.973, -2.978
922.472, 1144.783, -2.960
921.430, 1144.551, -2.935
920.282, 1144.271, -2.914
919.262, 1144.041, -2.898
918.301, 1143.763, -2.884
917.108, 1143.439, -2.869
916.153, 1143.114, -2.864
